meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.06,0.064,0.032,0.015,0.09,0.075,12.863,274.403,0.893,0.492,0,0.06,0.084,0.016,0.276,0.008,0.008,0.008,0,0,male
0.066,0.067,0.04,0.019,0.093,0.073,22.423,634.614,0.892,0.514,0,0.066,0.108,0.016,0.25,0.009,0.008,0.055,0.047,0.053,male
0.077,0.084,0.037,0.009,0.132,0.123,30.757,1024.928,0.846,0.479,0,0.077,0.099,0.016,0.271,0.008,0.008,0.016,0.008,0.047,male
0.151,0.072,0.158,0.097,0.208,0.111,1.233,4.177,0.963,0.727,0.084,0.151,0.089,0.018,0.25,0.201,0.008,0.563,0.555,0.247,male
0.135,0.079,0.125,0.079,0.206,0.127,1.101,4.334,0.972,0.784,0.104,0.135,0.106,0.017,0.267,0.713,0.008,5.484,5.477,0.208,male
0.133,0.08,0.119,0.068,0.21,0.142,1.933,8.309,0.963,0.738,0.113,0.133,0.11,0.017,0.254,0.298,0.008,2.727,2.719,0.125,male
0.151,0.074,0.16,0.093,0.206,0.113,1.531,5.987,0.968,0.763,0.086,0.151,0.106,0.026,0.267,0.48,0.008,5.313,5.305,0.124,male
0.161,0.077,0.144,0.111,0.232,0.121,1.397,4.767,0.959,0.72,0.128,0.161,0.093,0.018,0.144,0.301,0.008,0.539,0.531,0.284,male
0.142,0.078,0.139,0.088,0.209,0.12,1.1,4.07,0.971,0.771,0.219,0.142,0.097,0.018,0.25,0.336,0.008,2.164,2.156,0.148,male
0.134,0.08,0.121,0.076,0.202,0.126,1.19,4.787,0.975,0.805,0.012,0.134,0.106,0.019,0.262,0.34,0.016,4.695,4.68,0.09,male
0.157,0.072,0.168,0.101,0.217,0.115,0.979,3.974,0.965,0.734,0.096,0.157,0.089,0.022,0.118,0.46,0.008,2.813,2.805,0.2,male
0.139,0.077,0.128,0.087,0.203,0.115,1.627,6.291,0.966,0.752,0.012,0.139,0.104,0.019,0.262,0.246,0.008,2.719,2.711,0.132,male
0.137,0.081,0.124,0.083,0.209,0.126,1.379,5.009,0.964,0.736,0.108,0.137,0.093,0.017,0.213,0.482,0.016,5.016,5,0.089,male
0.181,0.06,0.191,0.129,0.23,0.101,1.369,5.476,0.937,0.537,0.22,0.181,0.132,0.025,0.276,1.277,0.008,2.805,2.797,0.417,male
0.183,0.067,0.191,0.129,0.24,0.111,3.568,35.385,0.94,0.571,0.05,0.183,0.103,0.021,0.276,1.246,0.203,6.742,6.539,0.139,male
0.174,0.069,0.191,0.116,0.228,0.113,4.485,61.765,0.951,0.635,0.05,0.174,0.102,0.018,0.246,1.621,0.008,7,6.992,0.209,male
0.191,0.066,0.208,0.132,0.244,0.112,1.562,7.834,0.939,0.539,0.05,0.191,0.113,0.018,0.276,1.434,0.008,6.32,6.313,0.255,male
0.171,0.075,0.153,0.122,0.244,0.121,3.207,25.766,0.937,0.586,0.06,0.171,0.08,0.016,0.262,0.106,0.008,0.57,0.563,0.138,male
0.168,0.074,0.146,0.116,0.24,0.124,2.704,18.485,0.935,0.56,0.06,0.168,0.083,0.016,0.232,0.147,0.008,3.125,3.117,0.06,male
0.174,0.073,0.154,0.124,0.244,0.121,2.805,20.858,0.931,0.518,0.06,0.174,0.09,0.016,0.211,0.193,0.008,2.82,2.813,0.068,male
0.173,0.077,0.178,0.12,0.245,0.125,2.968,20.078,0.926,0.523,0.06,0.173,0.094,0.016,0.2,0.236,0.008,0.719,0.711,0.235,male
0.181,0.074,0.169,0.129,0.254,0.126,2.587,12.281,0.915,0.475,0.06,0.181,0.099,0.016,0.276,0.21,0.008,3.695,3.688,0.06,male
0.164,0.072,0.146,0.114,0.227,0.114,3.588,28.654,0.927,0.542,0.06,0.164,0.063,0.016,0.198,0.06,0.008,0.445,0.438,0.092,male
0.17,0.075,0.146,0.124,0.25,0.126,2.817,13.765,0.914,0.488,0.06,0.17,0.078,0.016,0.193,0.102,0.008,0.563,0.555,0.162,male
0.16,0.077,0.145,0.121,0.237,0.116,6.253,85.492,0.933,0.567,0.06,0.16,0.099,0.016,0.276,0.207,0.008,3.953,3.945,0.074,male
0.165,0.075,0.147,0.119,0.24,0.122,4.209,43.682,0.941,0.604,0.06,0.165,0.083,0.016,0.254,0.143,0.008,1.063,1.055,0.126,male
0.17,0.076,0.186,0.117,0.239,0.122,4.27,45.895,0.929,0.544,0.06,0.17,0.082,0.016,0.271,0.148,0.008,3.609,3.602,0.051,male
0.169,0.072,0.143,0.126,0.248,0.123,3.079,14.34,0.902,0.478,0.128,0.169,0.131,0.016,0.225,0.335,0.008,0.711,0.703,0.397,male
0.167,0.073,0.142,0.122,0.24,0.118,2.192,8.152,0.914,0.539,0.135,0.167,0.12,0.016,0.262,0.299,0.008,0.68,0.672,0.385,male
0.181,0.071,0.142,0.13,0.252,0.123,2.8,12.19,0.853,0.313,0.134,0.181,0.127,0.017,0.178,0.235,0.008,0.508,0.5,0.329,male
0.153,0.074,0.158,0.093,0.214,0.122,0.886,3.524,0.973,0.808,0.217,0.153,0.067,0.016,0.205,0.262,0.008,1.023,1.016,0.191,male
0.167,0.076,0.143,0.122,0.245,0.123,3.282,16.619,0.916,0.56,0.127,0.167,0.128,0.017,0.276,0.275,0.008,0.633,0.625,0.333,male
0.176,0.072,0.144,0.131,0.257,0.125,3.736,21.667,0.877,0.404,0.134,0.176,0.133,0.017,0.229,0.258,0.008,0.648,0.641,0.203,male
0.175,0.072,0.146,0.124,0.247,0.124,2.577,10.11,0.875,0.437,0.12,0.175,0.125,0.017,0.25,0.799,0.008,4.172,4.164,0.206,male
0.174,0.073,0.14,0.128,0.253,0.125,3.263,16.424,0.876,0.415,0.133,0.174,0.125,0.016,0.232,0.245,0.008,0.633,0.625,0.423,male
0.16,0.075,0.147,0.121,0.239,0.118,1.994,6.87,0.921,0.583,0.134,0.16,0.12,0.018,0.168,0.373,0.008,2.609,2.602,0.217,male
0.168,0.067,0.157,0.136,0.21,0.074,1.936,6.335,0.904,0.483,0.135,0.168,0.143,0.017,0.262,0.24,0.008,0.602,0.594,0.348,male
0.172,0.072,0.146,0.133,0.252,0.12,4.504,31.078,0.878,0.47,0.136,0.172,0.139,0.121,0.172,0.261,0.133,0.555,0.422,0.233,male
0.163,0.066,0.143,0.134,0.207,0.073,4.345,26.59,0.87,0.43,0.138,0.163,0.131,0.017,0.182,0.188,0.008,0.688,0.68,0.255,male
0.17,0.072,0.146,0.129,0.246,0.117,2.746,11.784,0.912,0.515,0.132,0.17,0.128,0.016,0.25,0.328,0.008,0.914,0.906,0.172,male
0.171,0.068,0.145,0.131,0.246,0.115,2.93,13.726,0.894,0.424,0.137,0.171,0.141,0.016,0.262,0.314,0.008,0.695,0.688,0.273,male
0.147,0.068,0.121,0.097,0.213,0.116,2.603,13.266,0.941,0.612,0.121,0.147,0.082,0.016,0.242,0.347,0.008,4.18,4.172,0.095,male
0.167,0.064,0.16,0.117,0.23,0.113,2.117,8.939,0.938,0.592,0.121,0.167,0.102,0.016,0.254,0.42,0.008,2.82,2.813,0.1,male
0.154,0.066,0.145,0.099,0.212,0.112,2.353,13.908,0.946,0.629,0.121,0.154,0.096,0.016,0.242,0.608,0.086,4.727,4.641,0.12,male
0.168,0.069,0.168,0.116,0.228,0.112,2.32,8.564,0.927,0.568,0.121,0.168,0.102,0.016,0.262,0.204,0.008,0.625,0.617,0.232,male
0.148,0.068,0.13,0.095,0.2,0.105,3.268,22.896,0.943,0.636,0.121,0.148,0.098,0.016,0.276,0.716,0.008,5.227,5.219,0.139,male
0.159,0.066,0.133,0.111,0.224,0.113,3.019,17.536,0.932,0.568,0.121,0.159,0.08,0.016,0.267,0.264,0.008,1.336,1.328,0.182,male
0.164,0.07,0.144,0.111,0.227,0.117,1.7,7.629,0.948,0.633,0.121,0.164,0.056,0.016,0.213,0.163,0.031,0.672,0.641,0.116,male
0.159,0.068,0.161,0.104,0.219,0.115,1.94,8.204,0.942,0.614,0.121,0.159,0.101,0.016,0.276,0.468,0.008,6.883,6.875,0.091,male
0.138,0.072,0.12,0.087,0.201,0.114,2.011,10.262,0.963,0.727,0.06,0.138,0.076,0.016,0.128,0.506,0.031,4.664,4.633,0.173,male
0.143,0.074,0.128,0.089,0.206,0.117,1.552,7.23,0.967,0.753,0.06,0.143,0.099,0.019,0.208,0.853,0.008,4.664,4.656,0.213,male
0.135,0.072,0.113,0.088,0.2,0.113,3.422,19.133,0.948,0.683,0.103,0.135,0.091,0.017,0.2,0.615,0.016,4.445,4.43,0.217,male
0.141,0.073,0.125,0.091,0.201,0.11,2.264,13.082,0.965,0.734,0.06,0.141,0.101,0.022,0.235,0.896,0.008,5.156,5.148,0.239,male
0.141,0.074,0.134,0.091,0.202,0.111,2.053,10.941,0.967,0.745,0.06,0.141,0.109,0.027,0.229,0.975,0.039,5.828,5.789,0.168,male
0.154,0.072,0.145,0.102,0.219,0.117,1.759,7.132,0.955,0.685,0.06,0.154,0.112,0.025,0.276,0.629,0.008,2.703,2.695,0.207,male
0.146,0.077,0.138,0.088,0.212,0.124,2.111,11.536,0.965,0.739,0.06,0.146,0.104,0.016,0.276,0.92,0.008,5.43,5.422,0.271,male
0.145,0.077,0.136,0.091,0.208,0.117,2.798,29.554,0.972,0.764,0.06,0.145,0.103,0.021,0.267,0.792,0.008,4.992,4.984,0.16,male
0.122,0.087,0.118,0.031,0.215,0.185,2.062,8.466,0.932,0.549,0.118,0.122,0.131,0.02,0.271,0.583,0.008,3.727,3.719,0.253,male
0.136,0.086,0.127,0.05,0.229,0.179,1.388,5.009,0.953,0.66,0.115,0.136,0.134,0.061,0.25,1.109,0.008,4.297,4.289,0.369,male
0.1,0.073,0.082,0.044,0.144,0.1,0.53,2.068,0.97,0.755,0.012,0.1,0.117,0.016,0.262,1.087,0.008,4.344,4.336,0.345,male
0.125,0.08,0.114,0.057,0.201,0.144,2.377,10.551,0.948,0.671,0.112,0.125,0.115,0.024,0.271,0.56,0.008,4.297,4.289,0.227,male
0.143,0.07,0.124,0.102,0.211,0.11,1.793,6.662,0.942,0.61,0.106,0.143,0.121,0.033,0.267,1.117,0.094,4.563,4.469,0.35,male
0.143,0.085,0.125,0.096,0.233,0.136,1.936,7.989,0.941,0.585,0.113,0.143,0.11,0.027,0.262,0.653,0.008,4.57,4.563,0.187,male
0.146,0.088,0.13,0.089,0.234,0.145,1.459,5.01,0.947,0.621,0.116,0.146,0.104,0.016,0.276,0.706,0.008,4.977,4.969,0.167,male
0.162,0.084,0.143,0.112,0.249,0.137,1.579,5.179,0.943,0.595,0.269,0.162,0.117,0.017,0.25,0.599,0.008,4.578,4.57,0.189,male
0.143,0.083,0.129,0.098,0.228,0.13,1.831,7.159,0.946,0.632,0.112,0.143,0.132,0.054,0.25,0.411,0.008,2.719,2.711,0.156,male
0.141,0.081,0.124,0.097,0.222,0.125,1.724,6.314,0.95,0.647,0.109,0.141,0.117,0.019,0.258,0.64,0.008,4.063,4.055,0.187,male
0.167,0.047,0.162,0.135,0.181,0.045,3.962,24.42,0.88,0.344,0.166,0.167,0.142,0.016,0.254,0.578,0.125,6.922,6.797,0.022,male
0.168,0.053,0.163,0.128,0.19,0.062,1.919,7.131,0.921,0.404,0.167,0.168,0.122,0.016,0.262,0.813,0.07,6.57,6.5,0.074,male
0.185,0.054,0.177,0.146,0.217,0.07,1.602,5.224,0.91,0.358,0.165,0.185,0.131,0.016,0.267,0.568,0.008,5.141,5.133,0.096,male
0.168,0.059,0.16,0.126,0.201,0.075,2.532,11.509,0.924,0.485,0.127,0.168,0.132,0.019,0.254,1.049,0.008,6.844,6.836,0.058,male
0.171,0.061,0.149,0.126,0.233,0.108,2.79,13.538,0.91,0.395,0.13,0.171,0.132,0.026,0.203,0.299,0.008,0.68,0.672,0.202,male
0.167,0.064,0.182,0.108,0.221,0.113,1.871,8.382,0.935,0.521,0.092,0.167,0.103,0.021,0.25,0.638,0.219,5.203,4.984,0.022,male
0.201,0.053,0.21,0.185,0.236,0.051,1.841,6.007,0.908,0.387,0,0.201,0.165,0.016,0.271,1.067,0.07,5.594,5.523,0.336,male
0.137,0.067,0.103,0.085,0.197,0.112,4.078,25.663,0.912,0.508,0.084,0.137,0.081,0.017,0.262,0.195,0.008,2.172,2.164,0.046,male
0.19,0.052,0.191,0.157,0.221,0.064,1.462,5.36,0.918,0.362,0,0.19,0.152,0.021,0.246,0.885,0.008,6.719,6.711,0.212,male
0.187,0.056,0.176,0.143,0.248,0.105,1.411,4.149,0.902,0.299,0.166,0.187,0.138,0.017,0.232,0.801,0.125,6.641,6.516,0.127,male
0.184,0.055,0.183,0.151,0.226,0.075,1.588,8.99,0.933,0.428,0,0.184,0.134,0.019,0.267,1.796,0.008,7,6.992,0.316,male
0.2,0.056,0.211,0.167,0.243,0.077,2.927,15.254,0.915,0.413,0.241,0.2,0.159,0.02,0.267,0.623,0.156,6.391,6.234,0.12,male
0.176,0.056,0.173,0.148,0.215,0.067,1.76,6.471,0.934,0.513,0,0.176,0.149,0.02,0.254,0.807,0.008,6.563,6.555,0.19,male
0.185,0.062,0.19,0.134,0.239,0.105,1.661,10.894,0.934,0.468,0,0.185,0.139,0.025,0.276,1.753,0.078,6.727,6.648,0.35,male
0.183,0.049,0.177,0.153,0.209,0.057,1.629,5.587,0.907,0.303,0.185,0.183,0.147,0.02,0.262,1.037,0.141,6.82,6.68,0.206,male
0.196,0.058,0.204,0.156,0.248,0.092,1.197,4.11,0.923,0.395,0,0.196,0.168,0.018,0.276,1.095,0.148,6.594,6.445,0.259,male
0.191,0.057,0.209,0.14,0.235,0.096,6.995,112.648,0.908,0.319,0.09,0.191,0.081,0.016,0.225,0.161,0.094,0.43,0.336,0.142,male
0.196,0.054,0.203,0.154,0.239,0.085,4.038,50.591,0.927,0.296,0.09,0.196,0.081,0.016,0.195,0.147,0.094,0.375,0.281,0.176,male
0.191,0.052,0.202,0.153,0.229,0.076,4.197,45.864,0.912,0.285,0.09,0.191,0.066,0.016,0.211,0.168,0.094,0.656,0.563,0.106,male
